"","x"
"311","PDIK1L"
"312","FAM110D"
"313","ZNF593"
"314","CNKSR1"
"315","CEP85"
"316","SH3BGRL3"
"317","UBXN11"
"318","CD52"
"319","CRYBG2"
"320","ZNF683"
"321","DHDDS"
"322","HMGN2"
"323","RPS6KA1"
"324","ARID1A"
"325","PIGV"
"326","ZDHHC18"
"327","SFN"
"328","GPN2"
"329","GPATCH3"
"330","NUDC"
"331","KDF1"
"332","TRNP1"
"333","TENT5B"
"334","SLC9A1"
"335","WDTC1"
"336","TMEM222"
"337","SYTL1"
"338","MAP3K6"
"339","FCN3"
"340","GPR3"
"341","WASF2"
"342","AHDC1"
"343","FGR"
"344","IFI6"
"345","FAM76A"
"346","STX12"
"347","AL020997.2"
"348","AL020997.3"
"349","PPP1R8"
"350","THEMIS2"
"351","RPA2"
"352","SMPDL3B"
"353","XKR8"
"354","EYA3"
"355","PTAFR"
"356","DNAJC8"
"357","ATP5IF1"
"358","AL353622.1"
"359","SESN2"
"360","MED18"
"361","PHACTR4"
"362","RCC1"
"363","SNHG3"
"364","TRNAU1AP"
"365","SNHG12"
"366","TAF12"
"367","RAB42"
"368","AL360012.1"
"369","GMEB1"
"370","YTHDF2"
"371","EPB41"
"372","TMEM200B"
"373","SRSF4"
"374","MECR"
"375","PTPRU"
"376","MATN1-AS1"
"377","LAPTM5"
"378","SDC3"
"379","PUM1"
"380","NKAIN1"
"381","SNRNP40"
"382","ZCCHC17"
"383","FABP3"
"384","SERINC2"
"385","TINAGL1"
"386","PEF1"
"387","COL16A1"
"388","ADGRB2"
"389","SPOCD1"
"390","PTP4A2"
"391","KHDRBS1"
"392","TMEM39B"
"393","KPNA6"
"394","AL049795.2"
"395","TXLNA"
"396","CCDC28B"
"397","AL049795.1"
"398","IQCC"
"399","TMEM234"
"400","EIF3I"
"401","FAM167B"
"402","LCK"
"403","HDAC1"
"404","MARCKSL1"
"405","FAM229A"
"406","BSDC1"
"407","ZBTB8A"
"408","ZBTB8OS"
"409","RBBP4"
"410","SYNC"
"411","KIAA1522"
"412","YARS"
"413","S100PBP"
"414","HPCA"
"415","TMEM54"
"416","RNF19B"
"417","AK2"
"418","AZIN2"
"419","TRIM62"
"420","ZNF362"
"421","PHC2"
"422","ZSCAN20"
"423","SMIM12"
"424","GJA4"
"425","DLGAP3"
"426","TMEM35B"
"427","ZMYM6"
"428","ZMYM1"
"429","SFPQ"
"430","ZMYM4"
"431","KIAA0319L"
"432","NCDN"
"433","AC004865.2"
"434","TFAP2E"
"435","PSMB2"
"436","C1orf216"
"437","CLSPN"
"438","AGO4"
"439","AGO1"
"440","AGO3"
"441","ADPRHL2"
"442","COL8A2"
"443","TRAPPC3"
"444","MAP7D1"
"445","THRAP3"
"446","SH3D21"
"447","EVA1B"
"448","AL591845.1"
"449","STK40"
"450","LSM10"
"451","OSCP1"
"452","MRPS15"
"453","CSF3R"
"454","GRIK3"
"455","LINC01137"
"456","ZC3H12A"
"457","MEAF6"
"458","SNIP1"
"459","DNALI1"
"460","GNL2"
"461","C1orf109"
"462","CDCA8"
"463","EPHA10"
"464","MANEAL"
"465","YRDC"
"466","C1orf122"
"467","MTF1"
"468","INPP5B"
"469","SF3A3"
"470","FHL3"
"471","UTP11"
"472","RRAGC"
"473","AL139260.1"
"474","MYCBP"
"475","RHBDL2"
"476","AKIRIN1"
"477","NDUFS5"
"478","MACF1"
"479","BMP8A"
"480","PABPC4"
"481","HEYL"
"482","PPIE"
"483","BMP8B"
"484","OXCT2"
"485","AL033527.4"
"486","TRIT1"
"487","MYCL"
"488","MFSD2A"
"489","CAP1"
"490","PPT1"
"491","RLF"
"492","AL050341.2"
"493","ZMPSTE24"
"494","COL9A2"
"495","SMAP2"
"496","ZFP69B"
"497","AL031985.3"
"498","ZFP69"
"499","AL603839.3"
"500","EXO5"
"501","ZNF684"
"502","RIMS3"
"503","NFYC-AS1"
"504","NFYC"
"505","KCNQ4"
"506","CITED4"
"507","CTPS1"
"508","SLFNL1"
"509","SCMH1"
"510","FOXO6"
"511","EDN2"
"512","HIVEP3"
"513","GUCA2B"
"514","FOXJ3"
"515","RIMKLA"
"516","ZMYND12"
"517","PPCS"
"518","CCDC30"
"519","PPIH"
"520","YBX1"
"521","P3H1"
"522","C1orf50"
"523","SVBP"
"524","ERMAP"
"525","AL512353.1"
"526","ZNF691"
"527","SLC2A1"
"528","SLC2A1-AS1"
"529","FAM183A"
"530","EBNA1BP2"
"531","TMEM125"
"532","C1orf210"
"533","TIE1"
"534","CDC20"
"535","ELOVL1"
"536","MED8"
"537","SZT2"
"538","HYI"
"539","PTPRF"
"540","KDM4A"
"541","ST3GAL3"
"542","ARTN"
"543","IPO13"
"544","DPH2"
"545","ATP6V0B"
"546","B4GALT2"
"547","CCDC24"
"548","SLC6A9"
"549","AL139220.2"
"550","DMAP1"
"551","ERI3"
"552","RNF220"
"553","TMEM53"
"554","ARMH1"
"555","KIF2C"
"556","RPS8"
"557","BEST4"
"558","PLK3"
"559","TCTEX1D4"
"560","BTBD19"
"561","PTCH2"
"562","EIF2B3"
"563","HECTD3"
"564","UROD"
"565","ZSWIM5"
"566","LINC01144"
"567","MUTYH"
"568","TOE1"
"569","TESK2"
"570","CCDC163"
"571","MMACHC"
"572","PRDX1"
"573","AKR1A1"
"574","NASP"
