"","x"
"320","TMEM39B"
"321","KPNA6"
"322","TXLNA"
"323","CCDC28B"
"324","IQCC"
"325","TMEM234"
"326","EIF3I"
"327","FAM167B"
"328","LCK"
"329","HDAC1"
"330","MARCKSL1"
"331","TSSK3"
"332","FAM229A"
"333","BSDC1"
"334","ZBTB8A"
"335","SYNC"
"336","KIAA1522"
"337","YARS"
"338","S100PBP"
"339","FNDC5"
"340","TMEM54"
"341","RNF19B"
"342","AZIN2"
"343","TRIM62"
"344","ZNF362"
"345","A3GALT2"
"346","PHC2"
"347","ZSCAN20"
"348","CSMD2"
"349","SMIM12"
"350","GJB4"
"351","GJB3"
"352","GJA4"
"353","DLGAP3"
"354","TMEM35B"
"355","ZMYM6"
"356","ZMYM1"
"357","SFPQ"
"358","ZMYM4"
"359","KIAA0319L"
"360","NCDN"
"361","TFAP2E"
"362","PSMB2"
"363","C1orf216"
"364","CLSPN"
"365","AGO4"
"366","AGO1"
"367","AGO3"
"368","TEKT2"
"369","ADPRHL2"
"370","COL8A2"
"371","TRAPPC3"
"372","MAP7D1"
"373","THRAP3"
"374","SH3D21"
"375","EVA1B"
"376","STK40"
"377","LSM10"
"378","OSCP1"
"379","CSF3R"
"380","GRIK3"
"381","ZC3H12A"
"382","MEAF6"
"383","SNIP1"
"384","DNALI1"
"385","GNL2"
"386","C1orf109"
"387","CDCA8"
"388","EPHA10"
"389","YRDC"
"390","C1orf122"
"391","MTF1"
"392","INPP5B"
"393","SF3A3"
"394","FHL3"
"395","UTP11"
"396","POU3F1"
"397","RRAGC"
"398","MYCBP"
"399","RHBDL2"
"400","AKIRIN1"
"401","NDUFS5"
"402","MACF1"
"403","BMP8A"
"404","PABPC4"
"405","HEYL"
"406","HPCAL4"
"407","PPIE"
"408","BMP8B"
"409","OXCT2"
"410","TRIT1"
"411","MYCL"
"412","MFSD2A"
"413","CAP1"
"414","PPT1"
"415","RLF"
"416","TMCO2"
"417","ZMPSTE24"
"418","COL9A2"
"419","SMAP2"
"420","ZFP69B"
"421","ZFP69"
"422","EXO5"
"423","ZNF684"
"424","RIMS3"
"425","NFYC"
"426","KCNQ4"
"427","CITED4"
"428","CTPS1"
"429","SLFNL1"
"430","SCMH1"
"431","FOXO6"
"432","EDN2"
"433","HIVEP3"
"434","FOXJ3"
"435","RIMKLA"
"436","ZMYND12"
"437","PPCS"
"438","CCDC30"
"439","PPIH"
"440","YBX1"
"441","P3H1"
"442","C1orf50"
"443","TMEM269"
"444","SVBP"
"445","ERMAP"
"446","ZNF691"
"447","SLC2A1"
"448","EBNA1BP2"
"449","CFAP57"
"450","TMEM125"
"451","TIE1"
"452","CDC20"
"453","ELOVL1"
"454","MED8"
"455","SZT2"
"456","HYI"
"457","PTPRF"
"458","KDM4A"
"459","ST3GAL3"
"460","ARTN"
"461","IPO13"
"462","DPH2"
"463","ATP6V0B"
"464","B4GALT2"
"465","CCDC24"
"466","SLC6A9"
"467","DMAP1"
"468","ERI3"
"469","RNF220"
"470","TMEM53"
"471","ARMH1"
"472","KIF2C"
"473","BEST4"
"474","PLK3"
"475","TCTEX1D4"
"476","BTBD19"
"477","PTCH2"
"478","EIF2B3"
"479","HECTD3"
"480","UROD"
"481","ZSWIM5"
"482","HPDL"
"483","MUTYH"
"484","TOE1"
"485","TESK2"
"486","CCDC163"
"487","MMACHC"
"488","AKR1A1"
"489","NASP"
"490","CCDC17"
"491","GPBP1L1"
"492","TMEM69"
"493","IPP"
"494","MAST2"
"495","PIK3R3"
"496","TSPAN1"
"497","POMGNT1"
"498","LURAP1"
"499","RAD54L"
"500","LRRC41"
"501","NSUN4"
"502","FAAH"
"503","MKNK1"
"504","MOB3C"
"505","ATPAF1"
"506","TEX38"
"507","EFCAB14"
"508","CYP4X1"
"509","PDZK1IP1"
"510","STIL"
"511","CMPK1"
"512","FOXD2"
"513","TRABD2B"
"514","SLC5A9"
"515","SPATA6"
"516","AGBL4"
"517","BEND5"
"518","ELAVL4"
"519","FAF1"
"520","CDKN2C"
"521","RNF11"
"522","TTC39A"
"523","EPS15"
"524","OSBPL9"
"525","NRDC"
"526","RAB3B"
"527","TXNDC12"
"528","KTI12"
"529","BTF3L4"
"530","ZFYVE9"
"531","CC2D1B"
"532","ORC1"
"533","PRPF38A"
"534","TUT4"
"535","GPX7"
"536","SHISAL2A"
"537","COA7"
"538","ZYG11B"
"539","ZYG11A"
"540","ECHDC2"
"541","SCP2"
"542","PODN"
"543","CPT2"
"544","CZIB"
"545","LRP8"
"546","GLIS1"
"547","NDC1"
"548","YIPF1"
"549","DIO1"
"550","HSPB11"
"551","LRRC42"
"552","TMEM59"
"553","TCEANC2"
"554","CDCP2"
"555","CYB5RL"
"556","SSBP3"
"557","ACOT11"
"558","MROH7"
"559","PARS2"
"560","TTC22"
"561","LEXM"
"562","DHCR24"
"563","USP24"
"564","PLPP3"
"565","PRKAA2"
"566","DAB1"
"567","OMA1"
"568","TACSTD2"
"569","MYSM1"
"570","JUN"
"571","FGGY"
"572","HOOK1"
"573","CYP2J2"
"574","NFIA"
"575","TM2D1"
"576","PATJ"
"577","KANK4"
"578","USP1"
"579","DOCK7"
"580","ANGPTL3"
"581","ATG4C"
"582","ALG6"
"583","ITGB3BP"
"584","EFCAB7"
"585","PGM1"
"586","ROR1"
"587","CACHD1"
"588","RAVER2"
"589","JAK1"
"590","AK4"
"591","DNAJC6"
"592","LEPROT"
"593","LEPR"
"594","PDE4B"
"595","SGIP1"
"596","TCTEX1D1"
"597","INSL5"
"598","WDR78"
"599","MIER1"
"600","SLC35D1"
"601","IL23R"
"602","IL12RB2"
"603","SERBP1"
"604","GADD45A"
"605","GNG12"
"606","DIRAS3"
"607","WLS"
"608","RPE65"
"609","DEPDC1"
"610","LRRC7"
"611","LRRC40"
"612","SRSF11"
"613","ANKRD13C"
"614","HHLA3"
"615","CTH"
"616","PTGER3"
"617","ZRANB2"
"618","NEGR1"
"619","LRRIQ3"
"620","FPGT"
"621","TNNI3K"
"622","ERICH3"
"623","CRYZ"
"624","TYW3"
"625","SLC44A5"
"626","ACADM"
"627","RABGGTB"
"628","MSH4"
"629","ST6GALNAC3"
"630","ST6GALNAC5"
"631","PIGK"
"632","AK5"
"633","AC118549.1"
"634","USP33"
"635","MIGA1"
"636","NEXN"
"637","FUBP1"
"638","DNAJB4"
"639","GIPC2"
"640","PTGFR"
"641","IFI44L"
"642","IFI44"
"643","ADGRL4"
"644","ADGRL2"
"645","TTLL7"
"646","PRKACB"
"647","SAMD13"
"648","DNASE2B"
"649","RPF1"
"650","GNG5"
"651","SPATA1"
"652","CTBS"
"653","LPAR3"
"654","MCOLN2"
"655","WDR63"
"656","MCOLN3"
"657","SYDE2"
"658","C1orf52"
"659","BCL10"
"660","DDAH1"
"661","CCN1"
"662","ZNHIT6"
"663","COL24A1"
"664","ODF2L"
"665","SH3GLB1"
"666","SELENOF"
"667","HS2ST1"
"668","LMO4"
"669","PKN2"
"670","GTF2B"
"671","KYAT3"
"672","RBMXL1"
"673","GBP1"
"674","GBP2"
"675","GBP4"
"676","GBP5"
"677","GBP6"
"678","LRRC8B"
"679","LRRC8C"
"680","LRRC8D"
"681","ZNF326"
"682","ZNF644"
"683","HFM1"
"684","CDC7"
"685","TGFBR3"
"686","EPHX4"
"687","BTBD8"
"688","GLMN"
"689","RPAP2"
"690","GFI1"
"691","EVI5"
"692","DIPK1A"
"693","MTF2"
"694","TMED5"
"695","CCDC18"
"696","DR1"
"697","FNBP1L"
"698","BCAR3"
"699","DNTTIP2"
"700","GCLM"
"701","ARHGAP29"
"702","ABCD3"
"703","F3"
"704","SLC44A3"
"705","CNN3"
"706","ALG14"
"707","TLCD4"
"708","RWDD3"
"709","PTBP2"
"710","DPYD"
"711","SNX7"
"712","PLPPR4"
"713","PALMD"
"714","FRRS1"
"715","AGL"
"716","SLC35A3"
"717","MFSD14A"
"718","SASS6"
"719","TRMT13"
"720","LRRC39"
"721","DBT"
"722","RTCA"
"723","CDC14A"
"724","VCAM1"
"725","EXTL2"
"726","SLC30A7"
"727","DPH5"
"728","S1PR1"
"729","COL11A1"
"730","RNPC3"
"731","AMY2B"
"732","PRMT6"
"733","NTNG1"
"734","VAV3"
"735","SLC25A24"
"736","FAM102B"
"737","HENMT1"
"738","PRPF38B"
"739","FNDC7"
"740","STXBP3"
"741","GPSM2"
"742","CLCC1"
"743","WDR47"
"744","TMEM167B"
"745","KIAA1324"
"746","SARS"
"747","CELSR2"
"748","PSRC1"
"749","MYBPHL"
"750","SORT1"
"751","PSMA5"
"752","SYPL2"
"753","ATXN7L2"
"754","CYB561D1"
"755","AMIGO1"
"756","GPR61"
"757","GNAI3"
"758","GNAT2"
"759","AMPD2"
"760","GSTM1"
"761","GSTM3"
