"","x"
"NECAP2",-1.07801701222754
"LINC01772",-1
"AL137802.2",-0.990497076023392
"NBPF1",-4.2953216374269
"CROCC",-0.840058479532164
"BX284668.5",-0.965155945419103
"MFAP2",-1.10477582846004
"ATP13A2",-0.699122807017544
"SDHB",-1.60217673814165
"PADI2",-4
"LINC02783",-1.09210526315789
"PADI1",-2.33333333333333
"PADI4",-1
"RCC2",-0.638157894736842
"ARHGEF10L",0.725677830940989
"IGSF21",-1.33333333333333
"KLHDC7A",-0.980994152046784
"ALDH4A1",-0.746101364522417
"IFFO2",-3.2953216374269
"AL137127.1",-0.990497076023392
"UBR4",-1.45723684210526
"EMC1-AS1",2.20029239766082
"EMC1",-0.797121007647324
"MRTO4",-0.758771929824561
"AKR7A3",-1.30482456140351
"AKR7A2",-0.869883040935673
"SLC66A1",-3.27631578947368
"CAPZB",-0.82037037037037
"MICOS10",-0.473290598290598
"NBL1",-8.04385964912281
"HTR6",-0.855263157894737
"TMCO4",-1.16694514062935
"RNF186",-0.602923976608187
"AL391883.1",0.461988304093567
"OTUD3",-0.758406432748538
"PLA2G5",-0.980994152046784
"PLA2G2D",-0.711988304093567
"UBXN10-AS1",-0.980994152046784
"UBXN10",-0.961988304093567
"LINC01141",0.628654970760234
"CAMK2N1",-0.802631578947368
"MUL1",-0.707236842105263
"FAM43B",-1.83333333333333
"CDA",-2.31432748538012
"PINK1",-1.56670321637427
"PINK1-AS",-1.20321637426901
"DDOST",-0.890273930440135
"KIF17",-3.62865497076023
"SH2D5",-1.33333333333333
"HP1BP3",-1.47007223942208
"EIF4G3",-0.925073099415205
"ECE1",-11.9688995215311
"NBPF3",3.45760233918129
"ALPL",-0.890085061137693
"RAP1GAP",1.05868838763576
"USP48",-1.49122807017544
"LDLRAD2",-2.98099415204678
"HSPG2",-0.815191387559809
"LINC00339",-2.56907894736842
"CDC42",0.558731599112724
"WNT4",0.314327485380117
"ZBTB40",-0.800073099415205
"C1QA",-0.638284600389864
"C1QC",-0.880195279866332
"C1QB",-0.475068669147617
"EPHB2",-0.771442495126706
"KDM1A",-0.687719298245614
"LUZP1",-1.63499025341131
"LINC01355",-1.06907894736842
"HNRNPR",7.20879851143009
"ZNF436",-1.13471177944862
"ZNF436-AS1",1.29788011695906
"AL109936.2",-1.11111111111111
"TCEA3",-1.38032581453634
"ASAP3",-0.755604288499025
"E2F2",-1.20955165692008
"ID3",-0.713937621832359
"RPL11",-0.7145365742102
"ELOA-AS1",-1.21588693957115
"ELOA",-14.3293650793651
"PITHD1",-1.18104288499025
"LYPLA2",-1.64766081871345
"GALE",-0.840852130325815
"HMGCL",-1.16332497911445
"FUCA1",-0.833677330581355
"PNRC2",-1.06844763423711
"SRSF10",-1.48289473684211
"MYOM3",0.942982456140351
"IL22RA1",-0.980994152046784
"IFNLR1",-68.1052631578947
"STPG1",-32.0526315789474
"NIPAL3",-0.795948203842941
"RCAN3AS",-2
"RCAN3",-1.09152046783626
"NCMAP",-3.66666666666667
"SRRM1",0.736679662118259
"CLIC4",-3.13766081871345
"RUNX3",-1.85721247563353
"SYF2",-0.896361273554256
"AL031432.4",-1.66666666666667
"RSRP1",-0.71683594952293
"TMEM50A",-0.598148148148148
"MACO1",-1.18737816764133
"LDLRAP1",-29.562134502924
"MAN1C1",-5.94298245614035
"SELENON",-1.27719298245614
"MTFR1L",-0.569931773879142
"PAQR7",-0.823830409356725
"STMN1",-0.84766081871345
"PAFAH2",0.382414369256475
"SLC30A2",-33.7383040935673
"PDIK1L",-21.3874269005848
"FAM110D",-1.16666666666667
"ZNF593",-0.961988304093567
"CNKSR1",-0.64766081871345
"CEP85",-1.08576998050682
"SH3BGRL3",-0.57504873294347
"UBXN11",-0.844231791600213
"CD52",-0.476264189886481
"CRYBG2",-2.5
"ZNF683",-33.5526315789474
"DHDDS",-0.49317738791423
"HMGN2",-4.14087301587302
"RPS6KA1",-1.7733918128655
"ARID1A",-24.6159844054581
"PIGV",-1.80482456140351
"ZDHHC18",-1.62865497076023
"SFN",-0.702485380116959
"GPN2",-0.83625730994152
"GPATCH3",-3.8635477582846
"NUDC",-1.03814460393408
"KDF1",-0.666666666666667
"TRNP1",-1.49049707602339
"TENT5B",-1.33333333333333
"SLC9A1",-1.44385964912281
"WDTC1",-0.958187134502924
"TMEM222",-2.54427736006683
"SYTL1",-0.628654970760234
"MAP3K6",-0.616959064327485
"FCN3",-1.02647823261858
"GPR3",-1.48099415204678
"WASF2",-1.89636127355426
"AHDC1",-22.2801169590643
"FGR",-2.1733918128655
"IFI6",-0.680998849197961
"FAM76A",-0.899122807017544
"STX12",-1.43817878028404
"AL020997.2",-1.66666666666667
"AL020997.3",-0.64766081871345
"PPP1R8",-2.1733918128655
"THEMIS2",-0.580143540669857
"RPA2",-0.75454840805718
"SMPDL3B",-1.08771929824561
"XKR8",0.619152046783626
"EYA3",-1.0421888053467
"PTAFR",10.7043859649123
"DNAJC8",-1.18447634237108
"ATP5IF1",-0.802681992337165
"AL353622.1",-1.98732943469786
"SESN2",-0.710526315789474
"MED18",-1.53654970760234
"PHACTR4",0.234126984126984
"RCC1",-14.7715121136174
"SNHG3",-1.2275828460039
"TRNAU1AP",-13.5538847117794
"SNHG12",-1.16794590643275
"TAF12",-0.609649122807018
"RAB42",-0.758406432748538
"AL360012.1",-1.33333333333333
"GMEB1",0.819200779727096
"YTHDF2",-0.807200292397661
"EPB41",-0.963622291021672
"TMEM200B",-0.596978557504873
"SRSF4",-0.729323308270677
"MECR",-1.0500730994152
"PTPRU",-0.692982456140351
"MATN1-AS1",-0.819078947368421
"LAPTM5",-0.747420020639835
"SDC3",-1.2953216374269
"PUM1",-0.748213125406108
"NKAIN1",-3.98099415204678
"SNRNP40",-1.05957602339181
"ZCCHC17",-2.53581871345029
"FABP3",-1.5578529657477
"SERINC2",-1.25243664717349
"TINAGL1",-0.787081339712919
"PEF1",-1.48851294903926
"COL16A1",-0.616715399610137
"ADGRB2",-3.33333333333333
"SPOCD1",-1.2953216374269
"PTP4A2",-0.92233918128655
"KHDRBS1",-8.40661549707602
"TMEM39B",-2.31907894736842
"KPNA6",-2.82553606237817
"AL049795.2",-1.05409356725146
"TXLNA",-0.955653021442495
"CCDC28B",-1.25
"AL049795.1",-68.7719298245614
"IQCC",-2.32383040935673
"TMEM234",-21.3315789473684
"EIF3I",-0.877842755035737
"FAM167B",-1.43245614035088
"LCK",-2.17787524366472
"HDAC1",-1.28265107212476
"MARCKSL1",-0.691520467836257
"FAM229A",-22.272514619883
"BSDC1",-1.70321637426901
"ZBTB8A",-2.09844054580897
"ZBTB8OS",-0.669590643274854
"RBBP4",-0.720197930724247
"SYNC",-1.05957602339181
"KIAA1522",-0.938109161793372
"YARS",-21.1315789473684
"S100PBP",-0.798489278752437
"HPCA",-1.66666666666667
"TMEM54",-1.22514619883041
"RNF19B",-1.51120857699805
"AK2",-0.608369883040936
"AZIN2",-1.10477582846004
"TRIM62",-4.98099415204678
"ZNF362",-2.12390350877193
"PHC2",-0.745614035087719
"ZSCAN20",-1.48099415204678
"SMIM12",-1.09886695906433
"GJA4",-1.34502923976608
"DLGAP3",-1.33333333333333
"TMEM35B",-0.968323586744639
"ZMYM6",-1.7953216374269
"ZMYM1",-0.777777777777778
"SFPQ",-0.914340776182881
"ZMYM4",-1.98336988304094
"KIAA0319L",-1.53866146848603
"NCDN",-3.76510721247563
"AC004865.2",-2.33333333333333
"TFAP2E",-0.666666666666667
"PSMB2",-0.734974009096816
"C1orf216",-1.73976608187134
"CLSPN",-2.31432748538012
"AGO4",-1.02485380116959
"AGO1",-1.37865497076023
"AGO3",-2.38340643274854
"ADPRHL2",-0.911654135338346
"COL8A2",-1.1687552213868
"TRAPPC3",-1.62865497076023
"MAP7D1",-0.828654970760234
"THRAP3",-1.97408293460925
"SH3D21",-3.39290935672515
"EVA1B",-1.19054580896686
"AL591845.1",1.8859649122807
"STK40",-2.2905701754386
"LSM10",-1.09152046783626
"OSCP1",-64.7529239766082
"MRPS15",-29.5716374269006
"CSF3R",-1.29912280701754
"GRIK3",-2.88888888888889
"LINC01137",-1.32383040935673
"ZC3H12A",-0.911915204678363
"MEAF6",-1.09210526315789
"SNIP1",-0.840058479532164
"DNALI1",-1.36198830409357
"GNL2",-1.06808688387636
"C1orf109",-2.14766081871345
"CDCA8",-1.1016081871345
"EPHA10",-2.16666666666667
"MANEAL",-21.0414230019493
"YRDC",-0.727095516569201
"C1orf122",0.900146198830409
"MTF1",-29.9049707602339
