"","x"
"C1QB",-0.958046149235841
"EPHB2",0.434468085106383
"TEX46",0
"KDM1A",-0.918617021276596
"LUZP1",-19.136170212766
"HTR1D",-1
"HNRNPR",-1.58926038500507
"ZNF436",-1.58411347517731
"TCEA3",-0.63936170212766
"ASAP3",-1.65673758865248
"E2F2",-3.2936170212766
"ID3",-0.870212765957447
"ELOA",-0.615035460992908
"PITHD1",-1.26052009456265
"LYPLA2",-3.82340425531915
"GALE",-31.7439716312057
"HMGCL",-0.99338061465721
"CNR2",-0.313475177304965
"PNRC2",-0.915925209542231
"SRSF10",-1.42789598108747
"MYOM3",-2.91666666666667
"IL22RA1",-3.16666666666667
"IFNLR1",-1
"GRHL3",-1
"STPG1",-2.5
"NIPAL3",-1.43120567375887
"RCAN3",-1.55851063829787
"NCMAP",-0.666666666666667
"SRRM1",-18.365011820331
"CLIC4",-1.46290046466129
"RUNX3",-0.86903073286052
"SYF2",-1.49205673758865
"RSRP1",-1.1434988179669
"RHD",0
"TMEM50A",-0.527068557919622
"MACO1",-1.56028368794326
"LDLRAP1",-2.65673758865248
"MAN1C1",-3.71820330969267
"SELENON",-11.9368149580916
"MTFR1L",-0.906067769897557
"AUNIP",-2.33333333333333
"PAQR7",-2.33333333333333
"STMN1",-0.578014184397163
"PAFAH2",-15.3570921985816
"SLC30A2",-1
"TRIM63",-1.33333333333333
"PDIK1L",-4.15673758865248
"FAM110D",-1.5
"ZNF593",-17.3782505910165
"CNKSR1",-1.98014184397163
"CEP85",-0.990070921985816
"SH3BGRL3",-0.736708241623869
"UBXN11",-1.0468085106383
"CD52",-0.779511426319937
"CRYBG2",-3.66666666666667
"ZNF683",-3.6468085106383
"DHDDS",-2.32340425531915
"ARID1A",-2.27375886524823
"PIGV",-6.92056737588652
"ZDHHC18",-0.985106382978723
"GPN2",-0.980141843971631
"GPATCH3",-0.986761229314421
"NUDC",-1.48676122931442
"KDF1",-1.83333333333333
"TRNP1",-2.27375886524823
"TENT5B",-1.33333333333333
"SLC9A1",-0.980141843971631
"WDTC1",-1.02776089159068
"TMEM222",-1.13026004728132
"SYTL1",-0.966903073286052
"MAP3K6",-0.876393110435664
"FCN3",-0.99338061465721
"CD164L2",-0.333333333333333
"GPR3",-4.33333333333333
"WASF2",-0.9087192323738
"AHDC1",-3.32009456264775
"FGR",-0.964255319148936
"IFI6",-0.714893617021277
"FAM76A",-19.1494089834515
"STX12",1.11962174940898
"PPP1R8",-0.818439716312057
"THEMIS2",-0.887427466150871
"RPA2",-1.2936170212766
